Altium Designer Pick and Place Locations,,,,,,,
E:\Embedded Series\Circuit design\Circuit design\01-STM32F103Mini\STM32F103Mini\Project Outputs for STM32F103Mini\Pick Place for STM32F103Mini-260711.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       14/07/26,,,,,,,
Time:       10:18,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
H1,2.54mm 2*20p直排针,TopLayer,HDR-TH_40P-P2.54-V-M-R2-C20-S2.54,1790,261,0,插针结构:2x20P;间距:2.54mm;行距:2.54mm;圆针/方针:方针;安装方式:直插;排数:双排;总PIN位数:40P;额定电流:3A;额定电压:-;配合针长度:6mm;塑高:-;端接针长度:3mm;触头材质:黄铜;触头镀层:-;工作温度:-40℃~+105℃;颜色:黑色;
U7,KF350-3.5-3P,TopLayer,CONN-TH_3P-P3.50_KF350-3.5-3P,2360.2,2241,0,结构:1x3P;间距:3.5mm;颜色:绿色;安装方式:直插;排数:1;每排PIN数:3;额定电流:10A;额定电压:300V;线规 - AWG:18~24;线规 - 平方毫米:0.75;工作温度:-40℃~+105℃;
J5,XH-4A,TopLayer,CONN-TH_4P-P2.50_XH-4A,2987,613.95,270,插针结构:1x4P;间距:2.5mm;安装方式:直插;参考系列:XH;总PIN数:4P;排数:1;每排PIN数:4;行距:-;额定电流:-;触头材质:-;触头镀层:-;工作温度:-;
J4,XH-4A,TopLayer,CONN-TH_4P-P2.50_XH-4A,2985,1168.75,270,插针结构:1x4P;间距:2.5mm;安装方式:直插;参考系列:XH;总PIN数:4P;排数:1;每排PIN数:4;行距:-;额定电流:-;触头材质:-;触头镀层:-;工作温度:-;
D2,SMF6.0CA,TopLayer,SOD-123FL_L2.8-W1.8-LS3.7-BI,2671.95,730,0,极性:双向;反向截止电压(Vrwm):6V;钳位电压:10.3V;峰值脉冲电流(Ipp):19.4A;峰值脉冲功率(Ppp):200W;击穿电压:6.67V;
U5,SP3485EEN,TopLayer,SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,2555.05,1053,270,类型:收发器;数据速率:12Mbps;
D1,SMF6.0CA,TopLayer,SOD-123FL_L2.8-W1.8-LS3.7-BI,2652.05,1596,180,极性:双向;反向截止电压(Vrwm):6V;钳位电压:10.3V;峰值脉冲电流(Ipp):19.4A;峰值脉冲功率(Ppp):200W;击穿电压:6.67V;
R11,20R,TopLayer,R0805,2684.95,849,180,电阻类型:厚膜电阻;阻值:20Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R10,120R,TopLayer,R0603,2760.85,1050.5,90,电阻类型:厚膜电阻;阻值:120Ω;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R7,4.7k,TopLayer,R0603,2267,1881.65,90,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R9,20R,TopLayer,R0805,2654.95,1480,180,电阻类型:厚膜电阻;阻值:20Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R6,4.7k,TopLayer,R0603,2375,1881.65,90,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R13,1K,TopLayer,R0603,854.15,846.2,0,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R12,1K,TopLayer,R0603,859.15,726.2,0,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
